name,Brand,Average Rating,Rating Count,Price,Dimensions (Overall),Dimensions (weight)
Samsung 85 The Frame 4K UHD Smart TV - Charcoal Black (QN85LS03B),Samsung,4.71,503,"$3,299.99 ",<B>Dimensions (Overall):</B> 42.7 Inches (H) x 75 Inches (W) x 1.1 Inches (D),<B>Weight:</B> 100.1 Pounds
"Samsung QN55LST7TA 55"" The Terrace QLED 4K UHD Outdoor Smart TV with Kanto PDX650 Articulating Full Motion TV Mount for 37"" - 75"" TV (Black)",Samsung,0,0,"$3,497.99 ",<B>Dimensions (Overall):</B> 28.7 inches (H) x 49.1 inches (W) x 2.4 inches (D),<B>Weight:</B> 103.88 pounds
"Samsung QN55LST7TA 55"" The Terrace QLED 4K UHD Outdoor Smart TV with Kanto PDX700G Full Motion Outdoor TV Mount",Samsung,0,0,"$3,647.99 ",<B>Dimensions (Overall):</B> 28.7 inches (H) x 49.1 inches (W) x 2.4 inches (D),<B>Weight:</B> 64.6 pounds
"Samsung QN55LST7TA 55"" The Terrace QLED 4K UHD Outdoor Smart TV with HW-Q910B 9.1.2ch Soundbar with Dolby Atmos & DTS:X (2022)",Samsung,0,0,"$4,197.99 ",<B>Dimensions (Overall):</B> 28.7 inches (H) x 49.1 inches (W) x 2.4 inches (D),<B>Weight:</B> 64.6 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with Kanto PDX650 Articulating Full Motion TV Mount for 37"" - 75"" TV (Black)",Samsung,0,0,"$4,997.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 104.3 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with Kanto PDX700G Full Motion Outdoor TV Mount",Samsung,0,0,"$5,147.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 81.1 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with HW-Q700B 3.1.2ch Soundbar with Wireless Dolby Atmos/DTS:X (2022)",Samsung,0,0,"$5,297.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 81.1 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with HW-S801B Ultra Slim Wireless 3.1.2Ch Soundbar System (White)",Samsung,0,0,"$5,497.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 98.28 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with HW-Q800B 5.1.2ch Soundbar with Dolby Atmos & DTS:X (2022)",Samsung,0,0,"$5,597.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 81.1 pounds
"Samsung QN65LST7TA 65"" The Terrace QLED 4K UHD Outdoor Smart TV with HW-Q910B 9.1.2ch Soundbar with Dolby Atmos & DTS:X (2022)",Samsung,0,0,"$5,697.99 ",<B>Dimensions (Overall):</B> 33.5 inches (H) x 57.7 inches (W) x 2.4 inches (D),<B>Weight:</B> 81.1 pounds
Supersonic 43-In. 1080p Smart HDTV,Supersonic,0,0,$352.99 ,<B>Dimensions (Overall):</B> 3.58 inches (H) x 38.18 inches (W) x 22.2 inches (D),<B>Weight:</B> 5 pounds
RCA 42-Inch 1080p HD Roku Smart LED TV,RCA,0,0,$476.99 ,<B>Dimensions (Overall):</B> 23.23 inches (H) x 37.64 inches (W) x 7.2 inches (D),<B>Weight:</B> 5.75 pounds
KUVASONG True 1500 Nits 49 Inch 4K Sun Readable Smart Outdoor TV with External 40W Sound Bar and Swiveling TV Wall Mount Bracket,KUVASONG,0,0,"$1,599.99 ",<B>Dimensions (Overall):</B> 26 inches (H) x 1.9 inches (W) x 45 inches (D),<B>Weight:</B> 46 pounds
"Furrion FDUP43CSA 43"" Aurora Partial Sun Smart 4K LED Outdoor TV",Furrion,0,0,"$1,699.99 ",<B>Dimensions (Overall):</B> 23.08 inches (H) x 38.41 inches (W) x 4.59 inches (D),<B>Weight:</B> 53.4 pounds
KUVASONG True 1500 Nits 55 Inch 4K Sun Readable Smart Outdoor TV with External 40W Sound Bar and Swiveling TV Wall Mount Bracket,KUVASONG,0,0,"$1,699.99 ",<B>Dimensions (Overall):</B> 27.64 inches (H) x 2.52 inches (W) x 48.46 inches (D),<B>Weight:</B> 62 pounds
"Furrion FDUF43CSA 43"" Aurora Full Shade Outdoor TV Bundle with 2.1-Channel Soundbar, TV Mount, and Weatherproof TV Cover",Furrion,0,0,"$1,899.96 ",<B>Dimensions (Overall):</B> 23.08 inches (H) x 38.41 inches (W) x 4.6 inches (D),<B>Weight:</B> 37.5 pounds
"Furrion FDUP50CSA 50"" Aurora Partial Sun Smart 4K LED Outdoor TV",Furrion,0,0,"$2,099.99 ",<B>Dimensions (Overall):</B> 26.45 inches (H) x 44.41 inches (W) x 4.64 inches (D),<B>Weight:</B> 59.75 pounds
